index,file,EPI,Start,Stop,epi1,epi2,epi3,start1,start2,start3,stop1,stop2,stop3
254,s_82,HVF,400538,410718,DVF,HVF,HAS,410719,411560,411816,411559,411815,418393
255,s_82,HVF,454243,457299,DVF,HVF,HAS,457300,458125,458222,458124,458221,466125
256,s_82,HVF,489789,499718,DVF,HVF,HPE,499719,500560,500885,500559,500884,511225
257,s_82,HVF,560291,572812,DVF,HVF,HPR,572813,573655,573729,573654,573728,1201288
258,s_83,HVF,419341,427518,DVF,HVF,HAS,427519,428361,429741,428360,429740,431660
259,s_83,HVF,525686,536163,DVF,HVF,HAS,536164,537006,537992,537005,537991,543474
260,s_83,HVF,565310,574152,DVF,HVF,HAS,574153,574996,575901,574995,575900,578596
261,s_83,HVF,659900,668051,DVF,HVF,HAS,668052,668896,669910,668895,669909,672912
262,s_83,HVF,767029,775756,DVF,HVF,HAS,775757,776601,777528,776600,777527,783815
263,s_83,HVF,806760,816505,DVF,HVF,HAS,816506,817346,818460,817345,818459,824465
264,s_83,HVF,858042,866908,DVF,HVF,HAS,866909,867751,869089,867750,869088,874573
265,s_84,HVF,151773,191313,DVF,HVF,HAS,191314,192142,192743,192141,192742,205511
266,s_84,HVF,355695,455500,DVF,HVF,HAS,455501,456342,456986,456341,456985,462821
267,s_84,HVF,479078,496703,DVF,HVF,HAS,496704,497547,498195,497546,498194,506160
268,s_85,HVF,453562,464039,DVF,HVF,HPE,464040,464882,465453,464881,465452,475720
269,s_85,HVF,560747,571142,DVF,HVF,HAS,571143,571987,572676,571986,572675,576783
270,s_85,HVF,686942,697255,DVF,HVF,HPE,697256,698097,698889,698096,698888,708084
271,s_86,HVF,45603,56586,DVF,HVF,HAS,56587,57428,58707,57427,58706,72526
272,s_86,HVF,99292,111995,DVF,HVF,HAS,111996,112838,113908,112837,113907,132705
273,s_86,HVF,156823,168029,DVF,HVF,HAS,168030,168873,169527,168872,169526,187467
274,s_86,HVF,321226,330294,DVF,HVF,HPE,330295,331138,332384,331137,332383,347702
275,s_87,HVF,69317,90349,DVF,HVF,HAS,90350,91190,91798,91189,91797,98578
276,s_87,HVF,136143,144519,DVF,HVF,HAS,144520,145360,145846,145359,145845,156513
277,s_89,HVF,149004,156877,DVF,HVF,HAS,156878,157719,158384,157718,158383,165354
278,s_90,HVF,1956,12475,DVF,HVF,HAS,12476,13306,13807,13305,13806,27581
279,s_90,HVF,142708,156966,DVF,HVF,HAS,156967,157811,158527,157810,158526,170139
280,s_90,HVF,207764,221363,DVF,HVF,HAS,221364,222206,222991,222205,222990,231465
281,s_90,HVF,265647,275181,DVF,HVF,HPE,275182,276011,276539,276010,276538,278985
282,s_90,HVF,278986,286909,DVF,HVF,HPE,286910,287751,288363,287750,288362,326427
284,s_91,HVF,103916,106803,DVF,HVF,HAS,106804,107647,108358,107646,108357,115857
285,s_91,HVF,255744,264416,DVF,HVF,HPE,264417,265257,265929,265256,265928,282606
286,s_91,HVF,831295,841555,DVF,HVF,HPE,841556,842397,842547,842396,842546,853997
287,s_91,HVF,941674,951031,DVF,HVF,HPE,951032,951872,951948,951871,951947,960176
288,s_91,HVF,1015817,1026920,DVF,HVF,HPE,1026921,1027761,1027806,1027760,1027805,1039745
289,s_92,HVF,1,1446,DVF,HVF,HAS,1447,2291,2990,2290,2989,10412
290,s_92,HVF,77536,87971,DVF,HVF,HAS,87972,88811,89861,88810,89860,104164
291,s_92,HVF,631270,641541,DVF,HVF,HPE,641542,642371,642788,642370,642787,650104
292,s_93,HVF,1,493,DVF,HVF,HAS,494,1338,2495,1337,2494,8385
293,s_93,HVF,205831,217620,DVF,HVF,HAS,217621,218463,219149,218462,219148,228787
294,s_94,HVF,1,1241,DVF,HVF,HAS,1242,2071,2537,2070,2536,13787
295,s_94,HVF,48586,59152,DVF,HVF,HAS,59153,59996,60272,59995,60271,62057
